iter	Passed	Remaining
400	21818	5386
401	21876	5332
402	21932	5279
403	22000	5227
404	22052	5172
405	22109	5118
406	22161	5063
407	22223	5011
408	22275	4956
409	22331	4902
410	22390	4848
411	22461	4797
412	22514	4742
413	22566	4687
414	22629	4634
415	22692	4582
416	22742	4526
417	22791	4471
418	22840	4415
419	22906	4363
420	22968	4310
421	23021	4255
422	23072	4200
423	23126	4145
424	23184	4091
425	23240	4037
426	23297	3982
427	23359	3929
428	23421	3876
429	23492	3824
430	23547	3769
431	23609	3716
432	23662	3661
433	23718	3607
434	23770	3551
435	23828	3497
436	23897	3445
437	23958	3391
438	24013	3336
439	24070	3282
440	24120	3226
441	24179	3172
442	24230	3117
443	24280	3062
444	24330	3007
445	24395	2953
446	24457	2899
447	24533	2847
448	24587	2792
449	24640	2737
450	24691	2682
451	24746	2627
452	24791	2572
453	24852	2518
454	24926	2465
455	25090	2420
456	25159	2367
457	25216	2312
458	25269	2257
459	25322	2201
460	25379	2147
461	25443	2092
462	25497	2037
463	25572	1984
464	25627	1928
465	25674	1873
466	25725	1817
467	25779	1762
468	25834	1707
469	25890	1652
470	25947	1597
471	26011	1543
472	26072	1488
473	26127	1433
474	26194	1378
475	26246	1323
476	26292	1267
477	26351	1212
478	26406	1157
479	26459	1102
480	26516	1047
481	26571	992
482	26634	937
483	26686	882
484	26733	826
485	26786	771
486	26839	716
487	26912	661
488	27024	607
489	27088	552
490	27150	497
491	27204	442
492	27264	387
493	27316	331
494	27369	276
495	27429	221
496	27487	165
497	27546	110
498	27607	55
499	27688	0
