iter	RMSE
349	50.85340683
350	50.84177603
351	50.83283434
352	50.78425983
353	50.76676637
354	50.76569633
355	50.75534486
356	50.74785358
357	50.73284062
358	50.71984619
359	50.70321184
360	50.67544488
361	50.67345008
362	50.66219522
363	50.62445437
364	50.61934783
365	50.61419663
366	50.56288595
367	50.55346082
368	50.54144721
369	50.50004758
370	50.49582073
371	50.46457868
372	50.46114602
373	50.45582363
374	50.45446577
375	50.41895219
376	50.38632011
377	50.33954221
378	50.32798752
379	50.31333171
380	50.30852395
381	50.28906233
382	50.24779942
383	50.24380567
384	50.22004516
385	50.14569162
386	50.13119817
387	50.08398375
388	50.06813418
389	50.06579009
390	50.05639141
391	50.0016676
392	49.99120834
393	49.92190053
394	49.9115219
395	49.89710293
396	49.89354034
397	49.87938951
398	49.82951994
399	49.79133084
400	49.76302831
401	49.75455387
402	49.69317703
403	49.68613526
404	49.66997496
405	49.65623521
406	49.64666212
407	49.64422221
408	49.59541723
409	49.58103577
410	49.54012802
411	49.521225
412	49.51467753
413	49.48501625
414	49.44243928
415	49.42344586
416	49.37964046
417	49.36030847
418	49.35381483
419	49.33529
420	49.31577139
421	49.29948077
422	49.28505012
423	49.28448442
424	49.28338541
425	49.26975286
426	49.26765916
427	49.26247278
428	49.24529398
429	49.22904254
430	49.21592875
431	49.17249712
432	49.14984529
433	49.12564277
434	49.10497201
435	49.07316954
436	49.03681752
437	49.01864374
438	48.99682264
439	48.9827196
440	48.96684153
441	48.90025855
442	48.89805051
443	48.87468961
444	48.86398458
445	48.84607765
446	48.83093551
447	48.73504487
448	48.72393151
449	48.70452532
450	48.7022264
451	48.688188
452	48.68424968
453	48.66272933
454	48.65883691
455	48.65532244
456	48.60222369
457	48.58115226
458	48.56681191
459	48.54456039
460	48.53960345
461	48.52782807
462	48.49531896
463	48.47769139
464	48.47131195
465	48.45856029
466	48.45151863
467	48.44691019
468	48.40600192
469	48.36432191
470	48.3497181
471	48.34422513
472	48.31607238
473	48.29188101
474	48.26507312
475	48.26124086
476	48.24113944
477	48.21600916
478	48.21402148
479	48.19342781
480	48.18921699
481	48.18522196
482	48.1779453
483	48.16473968
484	48.16269035
